Код;Артикул;Штрихкод;Наименование;Категория;Описание;Остаток;Единица измерения;Годен до;Серийные номера;Нулевая;Ремонтная;Розничная;Стандартна ціна
;;;13 128Gb A Pink 100% R-sim;iPhone > 13 > 13 128Gb;; 1;pcs;;350555049704819; 0; 0; 250; 0
;;;13 256Gb B+ Red 88%;iPhone > 13 > 13 256Gb;; 1;pcs;;353187652495696; 0; 0; 370; 0
;;;13 Mini 128Gb B Midnight 100%;iPhone > 13 Mini > 13 Mini 128Gb;; 1;pcs;;352195603343619; 0; 0; 315; 0
;;;13 Mini 128Gb B Pink 86%;iPhone > 13 Mini > 13 Mini 128Gb;; 1;pcs;;357590495212093; 0; 0; 315; 0
;;;13 Pro 128Gb A Sierra Blue 100%;iPhone > 13 Pro > 13 Pro 128Gb;; 2;pcs;;358823347291463, 353165802975767; 0; 0; 490; 0
;;;13 Pro 256Gb B+ 256Gb Sierra Blue 100%;iPhone > 13 Pro > 13 Pro 256Gb;; 1;pcs;;350753245606736; 0; 0; 520; 0
;;;13 Pro 256Gb B Sierra Blue 100%;iPhone > 13 Pro > 13 Pro 256Gb;; 1;pcs;;355677816731463; 0; 0; 520; 0
;;;13 Pro Max 128Gb B Graphite 86%;iPhone > 13 Pro Max > 13 Pro Max 128Gb;; 1;pcs;;356370167704987; 0; 0; 550; 0
;;;14 128Gb B E-sim Red 87%;iPhone > 14 > 14 128Gb;; 1;pcs;;358832598680464; 323; 0; 430; 0
;;;14 128Gb Midnight 83% (НА РЕМОНТ);iPhone > 14 > 14 128Gb;; 1;pcs;;356165444193735; 0; 0; 1; 0
;;;14 256Gb B E-sim Blue 86%;iPhone > 14 > 14 256Gb;; 1;pcs;;350808239166590; 0; 0; 500; 0
;;;14 256Gb B E-sim Blue 87%;iPhone > 14 > 14 256Gb;; 1;pcs;;358250494753949; 0; 0; 500; 0
;;;14 256Gb Blue B+ E-sim 91%;iPhone > 14 > 14 256Gb;; 1;pcs;;354155253438695; 370; 35; 500; 0
;;;14 Plus 128Gb A E-sim Blue 92%;iPhone > 14 Plus;; 1;pcs;;352073505235904; 0; 0; 440; 0
;;;14 Plus 128Gb A E-sim Midnight 92%;iPhone > 14 Plus > 14 Plus 128Gb;; 1;pcs;;356295375131915; 0; 0; 440; 0
;;;14 Plus 128Gb B E-sim Midnight 92%;iPhone > 14 Plus > 14 Plus 128Gb;; 1;pcs;;350320341443172; 0; 0; 440; 0
;;;14 Pro 256Gb B E-sim Black 87%;iPhone > 14 Pro > 14 Pro 256Gb;; 1;pcs;;359712287883752; 500; 0; 640; 0
;;;14 Pro Max 128Gb A E-sim Black 87% (НА РЕМОНТЕ);iPhone > 14 Pro Max > 14 Pro Max 128Gb;; 1;pcs;;357773245922761; 0; 0; 670; 0
;;;14 Pro Max 128Gb A E-sim Gold 90%;iPhone > 14 Pro Max > 14 Pro Max 128Gb;Накрут 83-90%; 1;pcs;;358497897816555; 0; 0; 670; 0
;;;14 Pro Max 128Gb A E-sim Silver 92%;iPhone > 14 Pro Max > 14 Pro Max 128Gb;Накрут 84-92%; 1;pcs;;358057912326202; 0; 0; 670; 0
;;;14 Pro Max 256Gb A E-sim Purple 91%;iPhone > 14 Pro Max > 14 Pro Max 256Gb;Накрут 84-91%; 1;pcs;;350636592736067; 0; 0; 700; 0
;;;14 Pro Max 256Gb B E-sim Black 91%;iPhone > 14 Pro Max > 14 Pro Max 256Gb;; 1;pcs;;353885667956517; 0; 0; 700; 0
;;;14 Pro Max 256Gb B+ E-sim Black 91%;iPhone > 14 Pro Max > 14 Pro Max 256Gb;; 1;pcs;;357938432287373; 0; 0; 700; 0
;;;14 Pro Max 256Gb B E-sim Black 92%;iPhone > 14 Pro Max > 14 Pro Max 256Gb;; 1;pcs;;351446989001409; 0; 0; 700; 0
;;;14 Pro Max 256Gb B+ E-sim Gold 93%;iPhone > 14 Pro Max > 14 Pro Max 256Gb;Накрут 84-93%; 1;pcs;;355063664586996; 0; 0; 700; 0
;;;14 Pro Max 256Gb B+ E-sim Purple 89%;iPhone > 14 Pro Max > 14 Pro Max 256Gb;; 1;pcs;;353083963022255; 0; 0; 700; 0
;;;14 Pro Max 256Gb B+ Purple 91%;iPhone > 14 Pro Max > 14 Pro Max 256Gb;Накрут 81-91%; 1;pcs;;352051373594149; 0; 0; 700; 0
;;;15 128Gb A+ E-sim Black 100%;iPhone > 15 > 15 128Gb;; 1;pcs;;356996536946170; 0; 0; 600; 0
;;;15 Plus 128Gb E-sim Black 93% (НА РЕМОНТ);iPhone > 15 Plus > 15 Plus 128Gb;; 1;pcs;;350686386958203; 0; 0; 1; 0
;;;15 Plus 512Gb B+ Pink 90%;iPhone > 15 Plus > 15 Plus 512Gb;; 1;pcs;;359220908020085; 0; 0; 750; 0
;;;15 Pro 128Gb B E-sim Natural T. 89%;iPhone > 15 Pro > 15 Pro 128Gb;; 1;pcs;;355407368513881; 0; 0; 780; 0
;;;15 Pro 256Gb A E-sim Black T. 87%;iPhone > 15 Pro > 15 Pro 256Gb;; 1;pcs;;358197542093531; 0; 0; 860; 0
;;;15 Pro 256Gb A E-sim Natural T. 89%;iPhone > 15 Pro > 15 Pro 256Gb;; 1;pcs;;354070961869257; 0; 0; 860; 0
;;;15 Pro Max 256Gb B E-sim Natural T. 93%;iPhone > 15 Pro Max > 15 Pro Max 256Gb;Накрут 87-93%; 1;pcs;;354047773898542; 0; 0; 900; 0
;;;15 Pro Max 512Gb B E-sim Black T. 100%;iPhone > 15 Pro Max > 15 Pro Max 512Gb;; 1;pcs;;351581970955575; 0; 0; 960; 0
;;;16 Pro Max 256Gb A E-sim Black T. 100%;iPhone > 16 Pro Max > 16 Pro Max 256Gb;; 1;pcs;;357590878651404; 0; 0;1 130; 0
;;;16 Pro Max 256Gb A+ E-sim Black T. 100%;iPhone > 16 Pro Max > 16 Pro Max 256Gb;; 2;pcs;;357590879144391, 355067549201838; 0; 0;1 140; 0
;;;16 Pro Max 256Gb A+ E-sim Natural T. 100%;iPhone > 16 Pro Max > 16 Pro Max 256Gb;; 1;pcs;;356308868428001; 0; 0;1 140; 0
;;;16 Pro Max 256Gb B+ E-sim Desert T. 100%;iPhone > 16 Pro Max > 16 Pro Max 256Gb;; 1;pcs;;354276350483879; 850; 122;1 060; 0
;;;16 Pro Max 512Gb A E-sim Desert T. 100%;iPhone > 16 Pro Max > 16 Pro Max 512Gb;; 1;pcs;;359447968818336; 0; 0;1 150; 0
;;;16 Pro Max 512Gb E-sim Desert T. 100% (НА РЕМОНТ);iPhone > 16 Pro Max > 16 Pro Max 512Gb;; 1;pcs;;354661678206757; 0; 0; 1; 0
;;;SE 3 64Gb A MDM 100%;iPhone > SE > SE 3 64Gb;; 1;pcs;;352787900356201; 0; 0; 100; 0
;;;Xr 64Gb B Coral AKБ 100%;iPhone > Xr > Xr 64Gb;; 1;pcs;;353066105350916; 0; 0; 150; 0
;;;Xs 256Gb B Black АКБ 100%;iPhone > Xs > Xs 256Gb;; 1;pcs;;357223092478731; 0; 0; 180; 0
;;;Xs Max 256Gb A Black 100%;iPhone > Xs Max;; 1;pcs;;357286097682128; 24; 164; 180; 0
;;;Блок 20W;Аксесуари;; 48;pcs;;0-0094, 0-0066, 0-0093, 0-0095, 0-0053, 0-0081, 0-0068, 0-0076, 0-0096, 0-0097, 0-0087, 0-0078, 0-0062, 0-0085, 0-0080, 0-0071, 0-0052, 0-0084, 0-0058, 0-0055, 0-0054, 0-0082, 0-0069, 0-0088, 0-0059, 0-0074, 0-0086, 0-0075, 0-0092, 0-0061, 0-0079, 0-0063, 0-0073, 0-0057, 0-0089, 0-0064, 0-0083, 0-0067, 0-0077, 0-0060, 0-0091, 0-0056, 0-0072, 0-0098, 0-0090, 0-0070, 0-0065, 0-0099; 0; 0; 800; 0
;;;Захисне Скло;Аксесуари;; 20;pcs;;0-0030, 0-0040, 0-0041, 0-0047, 0-0046, 0-0043, 0-0033, 0-0044, 0-0031, 0-0035, 0-0045, 0-0034, 0-0037, 0-0039, 0-0036, 0-0038, 0-0042, 0-0049, 0-0048, 0-0032; 0; 0; 800; 0
;;;Чехол;iPhone;; 33;pcs;;0-0193, 0-0185, 0-0173, 0-0182, 0-0169, 0-0171, 0-0178, 0-0179, 0-0191, 0-0175, 0-0172, 0-0190, 0-0198, 0-0176, 0-0184, 0-0177, 0-0170, 0-0186, 0-0187, 0-0194, 0-0181, 0-0188, 0-0189, 0-0183, 0-0192, 0-0167, 0-0180, 0-0195, 0-0168, 0-0196, 0-0174, 0-0199, 0-0197; 0; 0; 800; 0
;;;Шнур Type-C;Аксесуари;; 46;pcs;;0-0143, 0-0147, 0-0120, 0-0107, 0-0125, 0-0129, 0-0144, 0-0123, 0-0127, 0-0142, 0-0119, 0-0115, 0-0110, 0-0116, 0-0106, 0-0105, 0-0104, 0-0113, 0-0126, 0-0138, 0-0133, 0-0121, 0-0122, 0-0140, 0-0130, 0-0112, 0-0124, 0-0134, 0-0118, 0-0146, 0-0131, 0-0109, 0-0135, 0-0145, 0-0114, 0-0132, 0-0139, 0-0137, 0-0141, 0-0136, 0-0149, 0-0117, 0-0108, 0-0111, 0-0128, 0-0148; 0; 0; 600; 0
